Date,Close,Open,High,Low
3/5/2020,125.39,126.31,128.04,124.33
3/4/2020,129.91,127.36,129.97,124.86
3/3/2020,124.76,130.16,131.73,123.7
3/2/2020,129.99,126.55,130.13,123.84
2/28/2020,125.97,125.81,126.88,122.3
2/27/2020,128.84,132.84,134.24,128.74
2/26/2020,135.27,138.31,139.44,135.12
2/25/2020,137.16,141.81,142.35,136.73
2/24/2020,141.73,140.84,143.3,140.71
2/21/2020,145.03,146.19,146.19,144.06
2/20/2020,146.37,145.97,146.75,144.71
2/19/2020,146.02,146.68,147.02,145.49
2/18/2020,146.25,144.98,146.52,144.84
2/14/2020,145.86,149.46,149.6,144.96
2/13/2020,149.36,149.42,149.86,148.49
2/12/2020,150.33,148.82,150.61,148.59
2/11/2020,148.55,150.14,150.24,147.83
2/10/2020,149.47,148.06,149.48,146.72
2/7/2020,148.49,149.59,150.55,148.01
2/6/2020,151.73,151.79,153.66,150.43
2/5/2020,151.31,145.39,152.39,145.33
2/4/2020,144.32,143.04,144.59,142.17
2/3/2020,141.58,139.62,142.55,139.28
1/31/2020,139.12,138.31,139.43,136.27
1/30/2020,132.38,132.37,132.57,130.64
1/29/2020,133.27,134.7,135.1,133.18
1/28/2020,135.07,135.02,135.96,134.3
1/27/2020,134.17,134.06,135.57,133.67
1/24/2020,136.05,138.79,139.3,135.95
1/23/2020,138.28,139.57,139.78,137.59
